4,1,6m,4M7,2m7,37,,,,,,,,,,,,
4,1,6m,4M7,6m,4M7,,,,,,,,,,,,
4,0.5,6m,3m/5,4,1/3,2m,6m/1,7m7b5,37,,,,,,,,
4,0.5,4M7,5sus,6m,-,4M7,5sus,6m,67,,,,,,,,
4,1,6m7,3m7,6m7,3m7,,,,,,,,,,,,
4,0.5,2m7,37,6m,-,2m7,37,6m,-,,,,,,,,
4,0.5,7m7b5,37,6m,6m/5,4M7,#4m7b5,57sus,-,,,,,,,,
4,0.5,7m7b5,37,6m,#4m7b5,4M7,57sus,1,-,,,,,,,,
4,0.5,6m7,3m,4M7,57sus,6m7,3m,4M7,57sus,,,,,,,,
4,1,6m,1,2m,37,,,,,,,,,,,,
4,1,6m,2m,37,6m,,,,,,,,,,,,
4,1,6m,6m#5,6m6,6m#5,,,,,,,,,,,,
4,0.5,6m,1#5/#5,6m7/5,#4m7b5,2m7,57sus,1,-,,,,,,,,
4,0.5,6m,37/#5,6m7/5,#4m7b5,4M7,#4m7b5,57sus,-,,,,,,,,
4,1,6m,3m7/5,4M7,5,,,,,,,,,,,,
4,1,6m,5,4M7,37,,,,,,,,,,,,
8,0.5,1,-,3m7,-,6m7,-,6m7/5,-,4M7,57/4,3m6,67,2m7,-,57sus,-
8,0.5,1,-,3m7,-,5m7,67,2m7,-,4m,-,3m6,67,2m7,#4m7b5,4m6,-
8,1,1,3m7/7,5m/b7,67,2m7,1/3,4M7,57sus,,,,,,,,
4,0.5,4M7,-,37,-,6m7,-,5m7,17,,,,,,,,
4,1,4M7,37,6m7,17,,,,,,,,,,,,
4,1,6m7,17,4M7,37,,,,,,,,,,,,
4,0.5,4M7,-,37sus,37,6m7,-,5m7,17,,,,,,,,
8,1,4M7,3m7,2m7,1M7,4M7,3m7,2m7,57sus,,,,,,,,
8,1,4M7,4m7,3m7,#2dim7,2m7,-,57sus,-,,,,,,,,
4,1,1m7,47,1m7,47,,,,,,,,,,,,
4,1,1m7,3,47,1m7,,,,,,,,,,,,
